"ID","Nombre","Referencia","Precio","Cantidad","Categoría","Imagen URL"
"866","Empujador de cutícula Holográfico Mod. 09","NA-EMP09","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/8/6/6/866-large_default.jpg"
"867","RETIRA ESMALTE PROFESIONAL HOLOGRÃFICO REF. 01","NA-RET01","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/8/6/7/867-large_default.jpg"
"868","RETIRA ESMALTE PROFESIONAL HOLOGRÃFICO REF. 02","NA-RET02","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/8/6/8/868-large_default.jpg"
"869","Alicate profesional quita cutículas Holográfico","NA-ALICA02","8.450000","1000","Complementos","https://wemmiprofesional.com/img/p/8/6/9/869-large_default.jpg"
"870","Alicate profesional quita cutículas cromado","NA-ALICA03","8.450000","1000","Complementos","https://wemmiprofesional.com/img/p/8/7/0/870-large_default.jpg"
"871","Alicate profesional quita cutículas dorado","NA-ALICA04","8.450000","1000","Complementos","https://wemmiprofesional.com/img/p/8/7/1/871-large_default.jpg"
"971","Brocha multifuncional Makeup/Nailsart pink gold","NA-BROPKGO","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/9/7/1/971-large_default.jpg"
"972","Brocha multifuncional Makeup/Nailsart hologrÃ¡fica","NA-BROHOL","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/9/7/2/972-large_default.jpg"
"973","Brocha multifuncional Makeup/Nailsart roja","NA-BRORO","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/9/7/3/973-large_default.jpg"
"974","Brocha multifuncional Makeup/Nailsart negra","NA-BRONEGR","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/9/7/4/974-large_default.jpg"
"975","Brocha multifuncional Makeup/Nailsart dorada","NA-BRONEGR","5.206000","1000","Complementos","https://wemmiprofesional.com/img/p/9/7/5/975-large_default.jpg"
"1201","Organizador pequeño varios colores","SM9061","1.942000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/0/1/1201-large_default.jpg"
"1202","Organizador redondo varios colores","SM9061","1.942000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/0/2/1202-large_default.jpg"
"1203","Bote Organizador  varios colores","SM9069","1.322000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/0/3/1203-large_default.jpg"
"1204","Organizador grande varios colores","SM9062","3.264000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/0/4/1204-large_default.jpg"
"1205","Bandeja organizadora transparente mate","SM9044","1.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/0/5/1205-large_default.jpg"
"1206","Organizador nail pads","SMNAILPAD","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/0/6/1206-large_default.jpg"
"1207","Dispensador para lÃ­quidos","SM909046","1.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/0/7/1207-large_default.jpg"
"1215","Paleta para mezclar","SM9075","0.550000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/1/5/1215-large_default.jpg"
"1216","Plato mezclador pintura","SMPLTMEX","0.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/1/6/1216-large_default.jpg"
"1225","Soporte para pinceles rosa","SM9064","0.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/2/5/1225-large_default.jpg"
"1226","Soporte para pinceles morado","SM9064","0.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/2/6/1226-large_default.jpg"
"1227","Soporte para pinceles black","SM9064","0.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/2/7/1227-large_default.jpg"
"1228","Soporte para pinceles transparente","SM9064","0.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/2/2/8/1228-large_default.jpg"
"1393","Reposa brazo con soporte cromado rosa","NA-COJROS","10.140000","1000","Complementos","https://wemmiprofesional.com/img/p/1/3/9/3/1393-large_default.jpg"
"1394","Reposa brazo con soporte cromado blanco","NA-COJROS","10.140000","1000","Complementos","https://wemmiprofesional.com/img/p/1/3/9/4/1394-large_default.jpg"
"1395","Reposa brazo + alfombrilla Mod. 01","NA-REPALF01","12.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/3/9/5/1395-large_default.jpg"
"1396","Reposa brazo + alfombrilla Mod. 02","NA-REPALF02","12.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/3/9/6/1396-large_default.jpg"
"1397","Mano articulada para practicar","NA-MANART","33.100000","1000","Complementos","https://wemmiprofesional.com/img/p/1/3/9/7/1397-large_default.jpg"
"1398","Mano flexible para practicar","NA-MANFLEX","7.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/3/9/8/1398-large_default.jpg"
"1399","Mano flexible para practicar Mod. 2","NA-MANFLEX2","7.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/3/9/9/1399-large_default.jpg"
"1402","Fundas rellenables para uñas 10 unds.","NA-FUND","2.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/0/2/1402-large_default.jpg"
